row.names,Animal,Stratum,Area,Strip,Length,StripA,SignPerp,x,y,east,north,s,c,v,o1,o2,o3,o4,o5,o6,o7,o8
1,1,1,1040,1,10,80,-2.68,2.68,0.96,1.32,0.96,2,1,1,1,0,0,0,0,0,0,0
2,2,1,1040,1,10,80,1.92,1.92,1.19,5.92,1.19,6,1,0,0,0,0,0,0,0,0,1
3,3,1,1040,1,10,80,1.3,1.3,1.26,5.3,1.26,4,0,0,0,0,0,0,0,0,0,1
4,4,1,1040,1,10,80,-0.73,0.73,1.35,3.27,1.35,1,1,0,0,0,0,0,0,0,0,1
5,5,1,1040,1,10,80,2.33,2.33,1.58,6.33,1.58,2,1,0,0,0,0,0,0,0,0,0
6,6,1,1040,1,10,80,3.33,3.33,2.74,7.33,2.74,2,1,0,0,1,0,0,0,0,0,0
7,7,1,1040,1,10,80,2.19,2.19,3.3,6.19,3.3,1,1,1,1,0,0,0,0,0,0,1
8,8,1,1040,1,10,80,1.27,1.27,4.11,5.27,4.11,3,1,0,1,0,0,0,1,0,0,0
9,9,1,1040,1,10,80,0.45,0.45,6.03,4.45,6.03,2,1,1,1,1,1,1,1,1,0,1
10,10,1,1040,1,10,80,-2.43,2.43,6.43,1.57,6.43,1,1,0,0,0,0,0,1,0,0,0
11,11,1,1040,1,10,80,-0.66,0.66,7.05,3.34,7.05,1,1,1,1,1,1,0,0,0,1,1
12,12,1,1040,1,10,80,0.34,0.34,7.08,4.34,7.08,1,0,0,0,0,0,1,0,0,0,0
13,13,1,1040,1,10,80,-3.48,3.48,8.24,0.52,8.24,4,1,0,0,0,0,0,0,0,0,0
14,14,1,1040,2,30,240,-2.74,2.74,0.26,9.26,0.26,5,1,1,0,0,1,0,1,0,0,0
15,15,1,1040,2,30,240,0.83,0.83,1.6,12.83,1.6,5,0,1,0,0,0,0,1,0,1,1
16,16,1,1040,2,30,240,2.09,2.09,2.35,14.09,2.35,3,0,1,0,0,1,0,0,1,0,0
17,17,1,1040,2,30,240,2.53,2.53,2.45,14.53,2.45,2,1,1,0,1,0,0,0,0,0,0
18,18,1,1040,2,30,240,3.54,3.54,3.2,15.54,3.2,2,0,0,0,0,0,0,0,0,0,0
19,19,1,1040,2,30,240,1.38,1.38,6.9,13.38,6.9,2,1,1,1,0,1,1,0,0,1,1
20,20,1,1040,2,30,240,-3.48,3.48,7.09,8.52,7.09,1,0,0,0,0,0,0,0,0,0,0
21,21,1,1040,2,30,240,-0.86,0.86,8.01,11.14,8.01,3,1,0,0,0,0,0,0,0,0,0
22,22,1,1040,2,30,240,1.91,1.91,9.47,13.91,9.47,2,1,1,1,1,1,0,1,0,0,0
23,23,1,1040,2,30,240,0.23,0.23,11.08,12.23,11.08,3,1,0,0,0,1,0,1,1,1,1
24,24,1,1040,2,30,240,1.21,1.21,12.61,13.21,12.61,2,1,1,1,0,1,1,0,0,1,0
25,25,1,1040,2,30,240,3.01,3.01,12.91,15.01,12.91,5,0,1,0,0,0,1,0,0,0,1
26,26,1,1040,2,30,240,1.44,1.44,12.92,13.44,12.92,3,1,1,1,1,1,1,1,1,1,1
27,27,1,1040,2,30,240,2.46,2.46,13.67,14.46,13.67,2,1,1,1,0,1,1,1,0,1,1
28,28,1,1040,2,30,240,3.17,3.17,17.12,15.17,17.12,4,0,0,0,0,0,0,0,0,0,0
29,29,1,1040,2,30,240,-2.76,2.76,17.78,9.24,17.78,4,0,0,0,0,0,0,0,0,0,0
30,30,1,1040,2,30,240,-3.83,3.83,17.97,8.17,17.97,2,1,1,0,0,0,0,0,0,0,1
31,31,1,1040,2,30,240,-3.24,3.24,18.06,8.76,18.06,2,0,1,0,0,0,0,0,0,0,0
32,32,1,1040,2,30,240,0.11,0.11,18.07,12.11,18.07,8,0,1,1,1,1,1,1,1,1,1
33,33,1,1040,2,30,240,2.88,2.88,18.71,14.88,18.71,2,1,1,0,0,1,0,0,1,1,1
34,34,1,1040,2,30,240,0.66,0.66,19.28,12.66,19.28,1,0,0,0,0,0,0,0,0,0,0
35,35,1,1040,2,30,240,-3.46,3.46,20.57,8.54,20.57,4,1,1,0,0,0,0,0,0,0,1
36,36,1,1040,2,30,240,2.78,2.78,21.63,14.78,21.63,4,0,0,0,0,0,0,0,0,0,0
37,37,1,1040,2,30,240,-3.83,3.83,23.89,8.17,23.89,3,0,0,0,0,0,0,0,0,0,0
38,38,1,1040,2,30,240,0.28,0.28,25.68,12.28,25.68,2,1,1,1,1,1,1,1,1,1,1
39,39,1,1040,2,30,240,1.37,1.37,26.56,13.37,26.56,4,1,1,1,1,0,1,1,0,1,1
40,40,1,1040,2,30,240,-2.4,2.4,27.33,9.6,27.33,3,1,1,1,0,1,0,1,0,1,1
41,41,1,1040,2,30,240,-0.62,0.62,27.59,11.38,27.59,3,0,0,0,0,0,0,0,0,0,0
42,42,1,1040,2,30,240,-2.83,2.83,28.22,9.17,28.22,4,0,0,0,0,0,0,0,0,0,0
43,43,1,1040,3,30,240,1.12,1.12,0.41,21.12,0.41,1,0,1,0,1,0,0,1,0,0,1
44,44,1,1040,3,30,240,0.01,0.01,0.67,20.01,0.67,6,1,0,1,1,1,1,0,0,0,1
45,45,1,1040,3,30,240,-1.62,1.62,3.95,18.38,3.95,2,1,0,0,0,1,0,0,0,1,0
46,46,1,1040,3,30,240,3.22,3.22,4.4,23.22,4.4,6,0,0,0,0,0,0,0,0,0,0
47,47,1,1040,3,30,240,1.19,1.19,4.84,21.19,4.84,6,1,1,1,0,1,1,1,1,1,1
48,48,1,1040,3,30,240,-3.15,3.15,5.08,16.85,5.08,4,1,0,0,0,0,0,0,0,0,0
49,49,1,1040,3,30,240,-0.91,0.91,5.31,19.09,5.31,2,1,1,0,1,0,1,1,0,1,0
50,50,1,1040,3,30,240,0.91,0.91,9.05,20.91,9.05,2,1,1,1,1,1,1,1,1,1,1
51,51,1,1040,3,30,240,1.95,1.95,9.46,21.95,9.46,4,1,1,1,0,1,1,1,1,0,0
52,52,1,1040,3,30,240,-3.08,3.08,11.94,16.92,11.94,2,0,0,0,0,0,0,0,0,0,0
53,53,1,1040,3,30,240,-0.07,0.07,12.48,19.93,12.48,1,1,0,1,1,1,1,1,1,0,0
54,54,1,1040,3,30,240,-1.46,1.46,13.28,18.54,13.28,2,1,0,0,0,1,0,0,0,0,0
